id;distances_Q1;distances_Q2;distances_Q3;distances_Q4
1065003; 27250,9508;11797,1758;25548,1503; 75016,20263
1065002;  8916,0503;    0,0000;13514,1975; 95513,98712
1011006; 33219,9157;10510,0784;35375,8324; 30597,43492
1009001; 47211,4494;    0,0000;18116,4107; 33705,22416
1011004; 58231,3242;    0,0000;16412,8101;  9062,50383
1009002; 56761,3524;22539,3488;58442,9467; 55709,19111
1031005; 48713,8190;15761,4546;36290,8433; 28333,90240
1011003; 60637,2947;16218,5603;17997,2844; 12138,20944
1011001; 40413,6889; 8163,1976;13591,5839;     0,00000
1011002; 28756,0389;12399,6517;    0,0000; 17593,75982
1013001; 26562,1256;    0,0000;    0,0000;     0,00000
1083003; 22647,1214;13633,8978;    0,0000; 34531,64595
1083001; 32239,7662; 9466,3989;13290,1902; 28386,27846
1004004; 10818,9346;    0,0000;19293,5387; 32569,99942
1031007;  8903,7336; 4239,2858;23958,8082;     0,00000
1031002; 38795,2077;    0,0000;28985,6921; 12566,00233
1013007;  5177,6552; 3247,1637;    0,0000;  3718,78531
1013006; 30709,0322;    0,0000;26713,5997; 18623,14865
1013002; 25641,0958;    0,0000;16118,0262; 15331,43244
1083002;  6797,9322;    0,0000;14547,0824;  9198,56696
1081002; 14596,1964;37794,2300;12825,8889;     0,00000
1032004; 50731,9203;22888,0757;18024,6516; 19420,69740
1031006; 41107,2550;26224,1071;27765,1564; 47754,57673
1032005; 37644,1577;31810,0399;10667,4095; 63183,49978
1064004; 50075,9583; 4410,3226;46577,3094; 16585,55798
1083007; 17156,4485; 7525,0185;10180,2945; 18909,87117
1011005; 33507,9311;10060,5505;    0,0000; 11289,80299
1034001;     0,0000;    0,0000; 5747,4280;     0,00000
1034003; 36419,8687;    0,0000;    0,0000;     0,00000
1031003; 36881,1433;15911,9084;20323,8415; 11524,81002
1031004; 11621,3537;38647,4737;11952,7975; 10039,85918
1032006; 26958,1616; 1027,5430;29383,3258; 97474,60364
1032001; 59095,2039;16027,5127;    0,0000; 41724,30079
1081005;     0,0000;32936,2476;11624,3879;  8245,39590
1040003;     0,0000;    0,0000;29236,6920; 49110,22405
1081003;  7752,4202;24044,3049;    0,0000; 16738,50035
1030004; 27844,0434; 2963,6270; 8698,1654;     0,00000
1013003; 20168,4253;10141,5830; 8902,7301;     0,00000
1030002;  2657,5943; 8911,6324;    0,0000;     0,00000
1030008; 17162,5281;    0,0000;10962,3191;  7321,60013
1034002;  5901,5061;    0,0000;    0,0000; 17193,45139
1030003; 35833,9708;14929,4894;17925,6670; 36589,98624
1030006; 48883,4883; 3114,1700;19253,7905;  9997,12652
1012007; 15230,2810; 7183,3828;11837,2518; 37060,29621
1032002; 51365,5048;    0,0000;19981,1466; 65383,71262
1040002;  6574,4655;    0,0000;40620,0894; 74540,29054
1032003; 56122,0364;    0,0000;13571,2937; 29907,33825
1047006; 30649,3264;    0,0000; 9167,1365; 61777,11654
1048001; 64967,4542; 8540,8586;14236,9218; 51405,58048
1031001; 33970,1715;    0,0000;28661,9847;  1918,73098
1046004; 65184,9568;    0,0000;11980,1792; 15578,69515
1046005; 35062,6566; 9148,6895;14612,6268;     0,00000
1030005; 10590,8379; 5420,7386;19405,3506;  9471,88986
1013005; 12999,7786;    0,0000; 8796,7283; 12272,30558
1030001; 51353,9116;    0,0000;    0,0000; 21034,27984
1047008; 53772,4125; 6770,2165; 6937,2719; 28428,30790
1024008; 51561,6877;14676,9789;26721,1936; 25289,28216
1033007; 27245,4643;16163,6028;    0,0000; 16120,23124
1007003;     0,0000;    0,0000; 1157,8799; 18426,72934
1026005;  1628,7525;    0,0000; 9883,4857; 21246,75531
1017003; 67824,4609;48109,0145;19703,0639; 39383,32100
1019001; 23314,3088;    0,0000; 7981,8351; 57990,41995
1024003;  5295,1860;11866,9694;43048,3569; 30732,53965
1015001; 85719,4651;12423,3411;    0,0000; 81112,49897
1015003;104295,0198;11327,9639;26360,7911; 41791,55016
1017004; 42089,6223;23288,1924;14207,0492; 35098,88806
1016002; 67474,1689;38054,2258;32324,2710; 21900,22740
1024005; 35792,8692;12126,4229;18635,5851; 44184,19143
1024007; 34778,9937;    0,0000;59791,6323; 45164,92557
1019004;  5111,1018;15103,6895;10900,8465; 34118,81775
1047001; 30350,3200;11759,7552;    0,0000; 45920,56187
1047002;  8996,6767; 8267,3175;22300,9340; 61379,15147
1004003;     0,0000; 4091,9287;23506,2290; 36913,66359
1005002; 29815,2225;47678,8580; 5032,6718; 55333,54173
1047009; 24712,4790;13735,0104;    0,0000; 39392,28949
1048007; 77719,2121;18403,8846;14869,9356; 47838,15248
